,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_estimator__C,param_estimator__gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score
0,0.012492716312408447,0.00013860194752432587,0.005188584327697754,0.00027182993461439127,0.0001,0.0001,"{'estimator__C': 0.0001, 'estimator__gamma': 0.0001}",0.7798165137614679,0.7706422018348624,0.7981651376146789,0.8532110091743119,0.8004587155963303,0.03202807349488288,19
1,0.013703525066375732,0.0007241607562056017,0.004673361778259277,6.0600192131355634e-05,0.0001,0.01,"{'estimator__C': 0.0001, 'estimator__gamma': 0.01}",0.8073394495412844,0.7798165137614679,0.8348623853211009,0.8899082568807339,0.8279816513761469,0.04070697098463038,17
2,0.013133704662322998,0.0007616414147004386,0.005046427249908447,0.0004358066431658642,0.0001,1.0,"{'estimator__C': 0.0001, 'estimator__gamma': 1.0}",0.9908256880733946,1.0,0.9357798165137615,1.0,0.981651376146789,0.026747485756171085,9
3,0.012772798538208008,0.00044285675073320384,0.0043433308601379395,4.8281491507656556e-05,0.0001,100.0,"{'estimator__C': 0.0001, 'estimator__gamma': 100.0}",0.8715596330275229,0.944954128440367,0.8440366972477065,0.8623853211009175,0.8807339449541285,0.038378900299728215,14
4,0.010963976383209229,0.0003997330609486276,0.003979504108428955,0.00015521281827705498,0.0001,10000.0,"{'estimator__C': 0.0001, 'estimator__gamma': 10000.0}",0.43119266055045874,0.42201834862385323,0.43119266055045874,0.44954128440366975,0.4334862385321101,0.009997474641148335,25
5,0.012427985668182373,0.0001342711942343897,0.0046038031578063965,5.25663969887967e-05,0.01,0.0001,"{'estimator__C': 0.01, 'estimator__gamma': 0.0001}",0.7798165137614679,0.7706422018348624,0.7981651376146789,0.8532110091743119,0.8004587155963303,0.03202807349488288,19
6,0.012553751468658447,0.0001443170499526361,0.004608631134033203,1.656451577442336e-05,0.01,0.01,"{'estimator__C': 0.01, 'estimator__gamma': 0.01}",0.8807339449541285,0.8532110091743119,0.8440366972477065,0.8899082568807339,0.8669724770642202,0.01891332855787917,16
7,0.01288306713104248,0.0001923636464891611,0.004847884178161621,8.278181814286448e-05,0.01,1.0,"{'estimator__C': 0.01, 'estimator__gamma': 1.0}",0.9908256880733946,1.0,0.9357798165137615,1.0,0.981651376146789,0.026747485756171085,9
8,0.016497790813446045,0.00030987153555170056,0.00594860315322876,0.00037936799061613874,0.01,100.0,"{'estimator__C': 0.01, 'estimator__gamma': 100.0}",0.8715596330275229,0.9357798165137615,0.8348623853211009,0.8623853211009175,0.8761467889908258,0.03698283370779153,15
9,0.015492141246795654,0.000494327573793125,0.005752146244049072,0.00023820762689507715,0.01,10000.0,"{'estimator__C': 0.01, 'estimator__gamma': 10000.0}",0.44036697247706424,0.44036697247706424,0.44036697247706424,0.43119266055045874,0.4380733944954129,0.003972593595341462,21
10,0.012627959251403809,0.00018582678859876885,0.004857957363128662,0.00027015883325431336,1.0,0.0001,"{'estimator__C': 1.0, 'estimator__gamma': 0.0001}",0.8073394495412844,0.7798165137614679,0.8165137614678899,0.8440366972477065,0.8119266055045873,0.02293577981651378,18
11,0.004832923412322998,0.0002011203361561431,0.001340627670288086,2.1349448567478014e-05,1.0,0.01,"{'estimator__C': 1.0, 'estimator__gamma': 0.01}",1.0,1.0,1.0,0.9908256880733946,0.9977064220183487,0.0039725935953414376,7
12,0.004532456398010254,0.0002583705356755285,0.001137077808380127,6.225518968655263e-05,1.0,1.0,"{'estimator__C': 1.0, 'estimator__gamma': 1.0}",1.0,1.0,1.0,1.0,1.0,0.0,1
13,0.01958233118057251,0.0003632201368733719,0.005790114402770996,0.00021667202513088904,1.0,100.0,"{'estimator__C': 1.0, 'estimator__gamma': 100.0}",0.8715596330275229,0.9357798165137615,0.8532110091743119,0.8715596330275229,0.8830275229357798,0.031364207181599435,13
14,0.016788721084594727,0.00022365664278674877,0.005656063556671143,8.06708516741921e-05,1.0,10000.0,"{'estimator__C': 1.0, 'estimator__gamma': 10000.0}",0.44036697247706424,0.44036697247706424,0.44036697247706424,0.43119266055045874,0.4380733944954129,0.003972593595341462,21
15,0.005000114440917969,0.0002918571117955781,0.0015048980712890625,0.00020805091549317187,100.0,0.0001,"{'estimator__C': 100.0, 'estimator__gamma': 0.0001}",1.0,1.0,1.0,0.9908256880733946,0.9977064220183487,0.0039725935953414376,7
16,0.003350198268890381,9.642659194003185e-05,0.000634312629699707,1.6697387779456643e-05,100.0,0.01,"{'estimator__C': 100.0, 'estimator__gamma': 0.01}",1.0,1.0,1.0,1.0,1.0,0.0,1
17,0.004644572734832764,0.00026239902860422654,0.0011366009712219238,3.259469522252874e-05,100.0,1.0,"{'estimator__C': 100.0, 'estimator__gamma': 1.0}",1.0,1.0,1.0,1.0,1.0,0.0,1
18,0.019954681396484375,0.0003686672509625222,0.005680501461029053,8.428920826290527e-05,100.0,100.0,"{'estimator__C': 100.0, 'estimator__gamma': 100.0}",0.8899082568807339,0.944954128440367,0.8532110091743119,0.8715596330275229,0.8899082568807339,0.03432713198875176,11
19,0.018988072872161865,0.0003148925681219253,0.005757510662078857,0.0001906194468073771,100.0,10000.0,"{'estimator__C': 100.0, 'estimator__gamma': 10000.0}",0.44036697247706424,0.44036697247706424,0.44036697247706424,0.43119266055045874,0.4380733944954129,0.003972593595341462,21
20,0.00332796573638916,0.0002396292050629151,0.0007246732711791992,0.00017050383457762903,10000.0,0.0001,"{'estimator__C': 10000.0, 'estimator__gamma': 0.0001}",1.0,1.0,1.0,1.0,1.0,0.0,1
21,0.0032325387001037598,0.00014712564745355346,0.0006459355354309082,1.692131670240015e-05,10000.0,0.01,"{'estimator__C': 10000.0, 'estimator__gamma': 0.01}",1.0,1.0,1.0,1.0,1.0,0.0,1
22,0.004499971866607666,0.0002113579274971528,0.0011328458786010742,4.70520440068931e-05,10000.0,1.0,"{'estimator__C': 10000.0, 'estimator__gamma': 1.0}",1.0,1.0,1.0,1.0,1.0,0.0,1
23,0.020539700984954834,0.00019740154001177652,0.0057547688484191895,3.594367652327014e-05,10000.0,100.0,"{'estimator__C': 10000.0, 'estimator__gamma': 100.0}",0.8899082568807339,0.944954128440367,0.8532110091743119,0.8715596330275229,0.8899082568807339,0.03432713198875176,11
24,0.018470168113708496,0.00037228927526561026,0.005657672882080078,9.352924138267153e-05,10000.0,10000.0,"{'estimator__C': 10000.0, 'estimator__gamma': 10000.0}",0.44036697247706424,0.44036697247706424,0.44036697247706424,0.43119266055045874,0.4380733944954129,0.003972593595341462,21
